model,roc_auc,accuracy,precision,recall,f1,meets_benchmark,roc_auc_benchmark
Logistic Regression,0.8460593945371323,0.7978421351504826,0.6356968215158925,0.556745182012848,0.593607305936073,True,0.8
Random Forest,0.8389205325849167,0.7473026689381034,0.5153631284916201,0.7901498929336188,0.6238377007607777,True,0.8
