model,fpr,tpr,threshold
logistic_regression,0.0,0.0,inf
logistic_regression,0.0,0.0021413276231263384,0.9418805112104072
logistic_regression,0.0,0.021413276231263382,0.8560652891646201
logistic_regression,0.0007727975270479134,0.021413276231263382,0.8516694755603895
logistic_regression,0.0007727975270479134,0.023554603854389723,0.851280879254604
logistic_regression,0.0015455950540958269,0.023554603854389723,0.8509107412074368
logistic_regression,0.0015455950540958269,0.027837259100642397,0.8455954033726617
logistic_regression,0.0030911901081916537,0.027837259100642397,0.843063836394822
logistic_regression,0.0030911901081916537,0.04068522483940043,0.8360085181801874
logistic_regression,0.0038639876352395673,0.04068522483940043,0.8331956051553626
logistic_regression,0.0038639876352395673,0.05139186295503212,0.8279780312424241
logistic_regression,0.00463678516228748,0.05139186295503212,0.8265382837078864
logistic_regression,0.00463678516228748,0.057815845824411134,0.8216673264584243
logistic_regression,0.005409582689335394,0.057815845824411134,0.8196411904145063
logistic_regression,0.005409582689335394,0.06423982869379015,0.8176566653367635
logistic_regression,0.0061823802163833074,0.06423982869379015,0.8152908129570773
logistic_regression,0.0061823802163833074,0.0728051391862955,0.8108031052869424
logistic_regression,0.0077279752704791345,0.0728051391862955,0.8091740055031926
logistic_regression,0.0077279752704791345,0.09421841541755889,0.8000918798731227
logistic_regression,0.008500772797527048,0.09421841541755889,0.7981448672106998
logistic_regression,0.008500772797527048,0.10278372591006424,0.7935651760052035
logistic_regression,0.00927357032457496,0.10278372591006424,0.7934875446657005
logistic_regression,0.00927357032457496,0.10492505353319058,0.7909733228144397
logistic_regression,0.012364760432766615,0.10492505353319058,0.7883244671714846
logistic_regression,0.012364760432766615,0.10706638115631692,0.7879097322106254
logistic_regression,0.01313755795981453,0.10706638115631692,0.7866209200457489
logistic_regression,0.01313755795981453,0.10920770877944326,0.7854678340302638
logistic_regression,0.013910355486862442,0.10920770877944326,0.7811196390760082
logistic_regression,0.013910355486862442,0.11134903640256959,0.781090183988043
logistic_regression,0.014683153013910355,0.11134903640256959,0.7807837511426778
logistic_regression,0.014683153013910355,0.12419700214132762,0.7697882234738218
logistic_regression,0.015455950540958269,0.12419700214132762,0.7696633269861631
logistic_regression,0.015455950540958269,0.13062098501070663,0.7677181730466057
logistic_regression,0.01622874806800618,0.13062098501070663,0.7645685594532442
logistic_regression,0.01622874806800618,0.13276231263383298,0.7642948297267269
logistic_regression,0.017001545595054096,0.13276231263383298,0.7641695289595335
logistic_regression,0.017001545595054096,0.1349036402569593,0.7640346698772738
logistic_regression,0.01777434312210201,0.1349036402569593,0.7638674223703821
logistic_regression,0.01777434312210201,0.139186295503212,0.7632481682306996
logistic_regression,0.019319938176197836,0.139186295503212,0.7609117565307078
logistic_regression,0.019319938176197836,0.14346895074946467,0.7594397800140216
logistic_regression,0.02009273570324575,0.14346895074946467,0.759276983300059
logistic_regression,0.02009273570324575,0.16059957173447537,0.7496681949997341
logistic_regression,0.021638330757341576,0.16059957173447537,0.7455456149323978
logistic_regression,0.021638330757341576,0.1670235546038544,0.7440429215053959
logistic_regression,0.02241112828438949,0.1670235546038544,0.7438362618017019
logistic_regression,0.02241112828438949,0.16916488222698073,0.7433315919680606
logistic_regression,0.023183925811437404,0.16916488222698073,0.7430125098652915
logistic_regression,0.023183925811437404,0.17130620985010706,0.741516667721759
logistic_regression,0.023956723338485315,0.17130620985010706,0.7414035711998127
logistic_regression,0.023956723338485315,0.1734475374732334,0.7413784624122354
logistic_regression,0.02472952086553323,0.1734475374732334,0.7412190789011818
logistic_regression,0.02472952086553323,0.2012847965738758,0.7290910768567984
logistic_regression,0.025502318392581144,0.2012847965738758,0.7288184989893116
logistic_regression,0.025502318392581144,0.20342612419700215,0.7284844046120829
